If Senzo Tanaka Is His Shidoshi, Then Show Us The Dim Mak ;; Movie Hollywood Bloodsport Black Dragon boys
Rule Of Acquisition #1 Once You Have Their Money, You Never Give It Back. ;; TVShow Star Trek Deep Space Nine DS9 Ferengi
Only Someone With The Sharingan And Kekkei Genkai Can Defeat Me ;; Anime Naruto Ninja Itachi Uchiha Vs Kakashi Hatake
https://i.imgur.com/CGQJxHi.jpg ;; adblocker thug complains website goes down image meme ad revenue
https://www.cnn.com/2013/05/22/tech/web/pronounce-gif/index.html ;; Animated Gif jif image pronounced pronunciation english dictionary word creator oxford
This Is Your Last Chance. After This, There Is No Turning Back. ;; Movie Hollywood The Matrix Neo Morpheus
"Beauty is a short-lived tyranny." ;; Quote: Socrates 
We have two lives, and the second begins when we realize we only have one. ;; Quote: Confucius
Equity, as people are now learning, is not about treating people equally, but rather treating them unequally in order to achieve an equal outcome based on race or ethnicity or whatever other category ;; Quote Source: https://www.zerohedge.com/political/california-state-university-drops-sat-test-too-stressful
"Until you make the unconscious conscious, you will call it fate." ;; Quote: Karl Jung. 
"Who is my daddy and what does he do?" ;; Kindergarden Cop, Arnold Schwarzeneger, pop culture
"I’d rather be hated for who I am, than loved for who I am not." ;; Kurt Cobain Quote
"A friend should always underestimate your virtues and an enemy overestimate your faults." ;; Don Vito Corleone, 'Godfather'.
"Your scientists were so preoccupied with whether they could, they didn't stop to think if they should." ;; Ian Malcolm, 'Jurassic Park.'


"A man either lives life as it happens to him, meets it head-on and licks it, or he turns his back on it and starts to wither away." Dr. Boyce, "The Menagerie," ("The Cage")|;; Star Trek quote.
"Logic is the beginning of wisdom, not the end." Mr. Spock, Star Trek VI: The Undiscovered Country|;; Star Trek quote.
"I haven't faced death. I've cheated death. I've tricked my way out of death and patted myself on the back for my ingenuity; I know nothing." James T. Kirk, Star Trek II: The Wrath of Khan|;; Star Trek quote.
"You may find that having is not so pleasing a thing as wanting. This is not logical, but it is often true." Mr. Spock, "Amok Time"|;; Star Trek quote.
"Live now; make now always the most precious time. Now will never come again." Jean-Luc Picard, "Inner Light"|;; Star Trek quote.
"Computers make excellent and efficient servants, but I have no wish to serve under them." Mr. Spock, "The Ultimate Computer"|;; Star Trek quote.
